Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
67.5000 74.7445 0.5019 0.1733 0.3249 0.00000 7.175 1499.8 12.0 0.0000 0.6614 81.12 0.0628 0.0001 0.0015
73.1250 74.7445 0.5250 0.1934 0.2816 0.00000 7.404 1500.0 12.0 0.0000 0.6666 78.81 0.0628 0.0000 0.0003
78.7500 74.7445 0.4367 0.2536 0.3097 0.00000 8.090 1500.0 12.0 0.0000 0.4324 54.26 0.0628 0.0000 0.0000
84.3750 74.7445 0.3944 0.2735 0.3320 0.00000 7.932 1500.0 12.0 0.0000 0.1885 24.42 0.0628 0.0000 0.0000
90.0000 74.7445 0.3853 0.2787 0.3360 0.00000 8.004 1500.0 12.0 0.0000 0.1812 23.62 0.0628 0.0000 0.0000
95.6250 74.7445 0.3318 0.3072 0.3610 0.00000 8.635 1500.0 12.0 0.0000 0.1191 16.13 0.0628 0.0000 0.0000
101.2500 74.7445 0.3531 0.2907 0.3562 0.00000 8.426 1500.0 12.0 0.0000 0.0939 12.56 0.0628 0.0000 0.0000
106.8750 74.7445 0.3700 0.2798 0.3501 0.00000 8.241 1500.0 12.0 0.0000 0.0811 10.72 0.0628 0.0000 0.0000
112.5000 74.7445 0.3453 0.2948 0.3599 0.00000 8.518 1500.0 12.0 0.0000 0.0745 10.02 0.0628 0.0000 0.0000
118.1250 74.7445 0.3436 0.2901 0.3662 0.00000 8.223 1500.0 12.0 0.0000 0.0757 10.22 0.0628 0.0000 0.0000
123.7500 74.7445 0.3136 0.3056 0.3808 0.00000 8.410 1500.0 12.0 0.0000 0.0817 11.26 0.0628 0.0000 0.0000
129.3750 74.7445 0.3413 0.2949 0.3638 0.00000 8.407 1500.0 12.0 0.0000 0.0672 10.00 0.0628 0.0000 0.0000
135.0000 74.7445 0.4167 0.2549 0.3284 0.00000 7.672 1500.0 12.0 0.0000 0.0747 10.00 0.0628 0.0000 0.0000
140.6250 74.7445 0.4525 0.2312 0.3163 0.00000 7.309 1500.0 12.0 0.0000 0.0705 10.00 0.0628 0.0000 0.0000
146.2500 74.7445 0.5165 0.1982 0.2853 0.00000 7.303 1500.0 12.0 0.0000 0.2099 24.97 0.0628 0.0000 0.0000
151.8750 74.7445 0.5756 0.1654 0.2590 0.00000 7.317 1500.0 12.0 0.0000 0.3699 42.02 0.0628 0.0000 0.0000
157.5000 74.7445 0.3926 0.2504 0.3570 0.00000 7.530 1500.0 12.0 0.0000 0.3053 40.13 0.0628 0.0000 0.0002
163.1250 74.7445 0.4297 0.2285 0.3418 0.00000 7.418 1500.0 12.0 0.0000 0.2094 26.83 0.0628 0.0000 0.0003
168.7500 74.7445 0.4556 0.2206 0.3238 0.00000 7.279 1500.0 12.0 0.0000 0.1275 15.98 0.0628 0.0000 0.0000
-118.1250 74.7445 0.5240 0.1704 0.3052 0.00000 6.640 1500.0 12.0 0.0000 0.1588 19.04 0.0628 0.0000 0.0001
-112.5000 74.7445 0.4069 0.2426 0.3505 0.00000 7.538 1500.0 12.0 0.0000 0.1367 17.79 0.0628 0.0000 0.0003
-106.8750 74.7445 0.3828 0.2595 0.3577 0.00000 7.605 1500.0 12.0 0.0000 0.1213 16.02 0.0628 0.0000 0.0000
-101.2500 74.7445 0.4744 0.2004 0.3252 0.00000 7.153 1500.0 12.0 0.0000 0.1621 20.16 0.0628 0.0000 0.0004
-95.6250 74.7445 0.5502 0.1660 0.2837 0.00000 7.116 1500.0 12.0 0.0000 0.2134 24.93 0.0628 0.0000 0.0003
-90.0000 74.7445 0.6093 0.1475 0.2431 0.00000 7.126 1500.0 12.0 0.0000 0.2618 28.92 0.0628 0.0000 0.0000
-84.3750 74.7445 0.5225 0.1949 0.2826 0.00000 7.304 1500.0 12.0 0.0000 0.2062 24.42 0.0628 0.0000 0.0000
-78.7500 74.7445 0.4517 0.2321 0.3162 0.00000 7.312 1500.0 12.0 0.0000 0.1041 13.02 0.0628 0.0000 0.0000
-73.1250 74.7445 0.5077 0.1974 0.2949 0.00000 6.783 1500.0 12.0 0.0000 0.1624 19.52 0.0628 0.0000 0.0000
56.2500 69.2130 0.4798 0.1909 0.3293 0.00000 7.001 1499.9 12.0 0.0000 0.5249 65.24 0.0628 0.0001 0.0010
61.8750 69.2130 0.4294 0.2238 0.3468 0.00000 7.849 1499.9 12.0 0.0000 0.6210 79.82 0.0628 0.0001 0.0010
67.5000 69.2130 0.5954 0.1555 0.2491 0.00000 7.193 1500.0 12.0 0.0000 0.7667 85.65 0.0628 0.0000 0.0000
73.1250 69.2130 0.5866 0.1586 0.2548 0.00000 6.992 1500.0 12.0 0.0000 0.5726 64.50 0.0628 0.0000 0.0000
78.7500 69.2130 0.5027 0.2001 0.2972 0.00000 6.793 1500.0 12.0 0.0000 0.1649 19.90 0.0628 0.0000 0.0000
84.3750 69.2130 0.4332 0.2418 0.3250 0.00000 7.533 1500.0 12.0 0.0000 0.1540 19.52 0.0628 0.0000 0.0000
