Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
-45.0000 85.7606 7.19133 0.439303 0.347120 0.178230 23.808 25.699 0.530463 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-39.3750 85.7606 6.64118 0.432822 0.327953 0.159342 25.159 27.112 0.612936 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
50.6250 80.2688 6.59353 0.433419 0.328587 0.158820 35.674 38.850 1.000000 0.284916 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
56.2500 80.2688 6.24356 0.432817 0.322853 0.149817 47.956 50.952 1.000000 0.955014 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
61.8750 80.2688 5.94478 0.428812 0.310277 0.138530 52.234 55.004 1.000000 1.000000 0.287728 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
67.5000 80.2688 6.62982 0.437900 0.338252 0.164143 64.685 67.968 1.000000 1.000000 0.961575 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
73.1250 80.2688 7.38500 0.444341 0.359221 0.187696 55.864 59.618 1.000000 1.000000 0.503284 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
78.7500 80.2688 6.54301 0.434152 0.329467 0.158353 58.183 61.350 1.000000 1.000000 0.646676 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
84.3750 80.2688 6.26960 0.431700 0.320897 0.149384 54.188 57.176 1.000000 1.000000 0.405815 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
90.0000 80.2688 6.37349 0.431583 0.322047 0.151800 33.796 36.832 1.000000 0.168704 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
95.6250 80.2688 6.36601 0.431030 0.320819 0.151087 31.371 34.299 0.969072 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
101.2500 80.2688 6.19224 0.427943 0.312152 0.143932 27.418 29.579 0.750705 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
