Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
157.5000 74.7445 0.3878 0.2540 0.3581 0.00000 7.577 1500.0 12.0 0.0000 0.3157 41.61 0.0628 0.0000 0.0002
163.1250 74.7445 0.4295 0.2287 0.3419 0.00000 7.403 1500.0 12.0 0.0000 0.2101 26.92 0.0628 0.0000 0.0003
168.7500 74.7445 0.4337 0.2347 0.3316 0.00000 7.516 1500.0 12.0 0.0000 0.1106 14.07 0.0628 0.0000 0.0000
-118.1250 74.7445 0.5240 0.1703 0.3053 0.00000 6.640 1500.0 12.0 0.0000 0.1574 18.87 0.0628 0.0000 0.0001
-112.5000 74.7445 0.4072 0.2424 0.3504 0.00000 7.538 1500.0 12.0 0.0000 0.1330 17.30 0.0628 0.0000 0.0003
-106.8750 74.7445 0.3830 0.2594 0.3576 0.00000 7.608 1500.0 12.0 0.0000 0.1181 15.60 0.0628 0.0000 0.0000
-101.2500 74.7445 0.4744 0.2004 0.3252 0.00000 7.154 1500.0 12.0 0.0000 0.1587 19.73 0.0628 0.0000 0.0004
-95.6250 74.7445 0.5502 0.1660 0.2838 0.00000 7.117 1500.0 12.0 0.0000 0.2089 24.41 0.0628 0.0000 0.0004
-90.0000 74.7445 0.6093 0.1475 0.2431 0.00000 7.127 1500.0 12.0 0.0000 0.2565 28.33 0.0628 0.0000 0.0000
-84.3750 74.7445 0.5225 0.1949 0.2826 0.00000 7.307 1500.0 12.0 0.0000 0.2023 23.96 0.0628 0.0000 0.0000
-78.7500 74.7445 0.4517 0.2321 0.3162 0.00000 7.313 1500.0 12.0 0.0000 0.1022 12.77 0.0628 0.0000 0.0000
-73.1250 74.7445 0.5077 0.1974 0.2949 0.00000 6.783 1500.0 12.0 0.0000 0.1583 19.02 0.0628 0.0000 0.0000
56.2500 69.2130 0.4798 0.1909 0.3293 0.00000 6.986 1499.9 12.0 0.0000 0.6163 76.60 0.0628 0.0001 0.0010
61.8750 69.2130 0.4294 0.2238 0.3468 0.00000 7.830 1499.9 12.0 0.0000 0.5990 76.99 0.0628 0.0001 0.0010
67.5000 69.2130 0.5954 0.1555 0.2491 0.00000 7.179 1500.0 12.0 0.0000 0.7439 83.10 0.0628 0.0000 0.0000
73.1250 69.2130 0.5866 0.1586 0.2548 0.00000 6.983 1500.0 12.0 0.0000 0.5590 62.96 0.0628 0.0000 0.0000
78.7500 69.2130 0.5026 0.2001 0.2973 0.00000 6.786 1500.0 12.0 0.0000 0.1609 19.41 0.0628 0.0000 0.0000
84.3750 69.2130 0.4332 0.2418 0.3250 0.00000 7.522 1500.0 12.0 0.0000 0.1498 18.99 0.0628 0.0000 0.0000
90.0000 69.2130 0.4285 0.2447 0.3267 0.00000 7.567 1500.0 12.0 0.0000 0.1418 18.03 0.0628 0.0000 0.0000
95.6250 69.2130 0.4375 0.2401 0.3224 0.00000 7.462 1500.0 12.0 0.0000 0.1110 14.02 0.0628 0.0000 0.0000
101.2500 69.2130 0.4515 0.2316 0.3169 0.00000 7.312 1500.0 12.0 0.0000 0.1023 12.80 0.0628 0.0000 0.0000
106.8750 69.2130 0.4452 0.2345 0.3203 0.00000 7.394 1500.0 12.0 0.0000 0.1109 13.95 0.0628 0.0000 0.0000
