Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
101.2500 80.2688 6.19224 0.427943 0.312152 0.143932 27.402 29.561 0.749768 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
106.8750 80.2688 7.13297 0.437071 0.342023 0.174657 24.220 26.204 0.567951 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
112.5000 80.2688 7.68096 0.444770 0.362603 0.194262 23.573 25.597 0.521091 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
118.1250 80.2688 7.17943 0.439645 0.347699 0.178330 24.161 26.113 0.547332 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
123.7500 80.2688 6.66508 0.433679 0.329980 0.160742 25.681 27.733 0.638241 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
129.3750 80.2688 6.47612 0.430870 0.321936 0.153567 28.957 31.539 0.840676 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
135.0000 80.2688 6.64894 0.432761 0.327923 0.159462 35.225 38.415 1.000000 0.274607 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
140.6250 80.2688 6.48751 0.430287 0.320904 0.153274 45.043 48.109 1.000000 0.870666 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
146.2500 80.2688 5.89986 0.421739 0.295250 0.131014 55.136 57.757 1.000000 1.000000 0.603564 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
151.8750 80.2688 5.65460 0.418422 0.284509 0.121877 51.520 53.957 1.000000 1.000000 0.414250 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
