Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
143.4375 85.0965 0.3721 0.2783 0.3496 0.00000 8.212 1500.0 12.0 0.0000 0.2566 33.91 0.0628
146.2500 85.0965 0.3920 0.2708 0.3372 0.00000 7.954 1500.0 12.0 0.0000 0.2228 28.99 0.0628
149.0625 85.0965 0.4846 0.2105 0.3049 0.00000 6.953 1500.0 12.0 0.0000 0.2135 26.10 0.0628
151.8750 85.0965 0.4531 0.2288 0.3181 0.00000 7.267 1500.0 12.0 0.0000 0.1939 24.25 0.0628
154.6875 85.0965 0.3980 0.2605 0.3414 0.00000 7.794 1500.0 12.0 0.0000 0.1815 23.59 0.0628
157.5000 85.0965 0.3394 0.2937 0.3668 0.00000 8.316 1500.0 12.0 0.0000 0.1765 23.88 0.0628
160.3125 85.0965 0.3190 0.3160 0.3650 0.00000 8.696 1500.0 12.0 0.0000 0.1547 21.10 0.0628
163.1250 85.0965 0.3724 0.2784 0.3492 0.00000 8.036 1500.0 12.0 0.0000 0.1654 21.84 0.0628
165.9375 85.0965 0.4057 0.2578 0.3364 0.00000 7.625 1500.0 12.0 0.0000 0.1783 23.03 0.0628
168.7500 85.0965 0.3985 0.2428 0.3587 0.00000 6.754 1500.0 12.0 0.0000 0.3330 43.69 0.0628
171.5625 85.0965 0.3638 0.2610 0.3752 0.00000 6.953 1500.0 12.0 0.0000 0.3304 44.42 0.0628
174.3750 85.0965 0.3334 0.2868 0.3797 0.00000 7.746 1500.0 12.0 0.0000 0.2758 37.66 0.0628
177.1875 85.0965 0.2848 0.3138 0.4014 0.00000 8.163 1500.0 12.0 0.0000 0.3132 44.17 0.0628
180.0000 85.0965 0.2670 0.3348 0.3983 0.00000 8.532 1500.0 12.0 0.0000 0.2678 37.99 0.0628
-177.1875 85.0965 0.2801 0.3102 0.4096 0.00000 7.592 1500.0 12.0 0.0000 0.4000 56.75 0.0628
-174.3750 85.0965 0.2760 0.3244 0.3995 0.00000 8.011 1500.0 12.0 0.0000 0.2982 42.16 0.0628
-171.5625 85.0965 0.2578 0.3425 0.3997 0.00000 8.784 1500.0 12.0 0.0000 0.2228 31.75 0.0628
-168.7500 85.0965 0.2660 0.3295 0.4046 0.00000 8.465 1500.0 12.0 0.0000 0.2450 34.87 0.0628
-165.9375 85.0965 0.2719 0.3227 0.4054 0.00000 8.000 1500.0 12.0 0.0000 0.2793 39.68 0.0628
-163.1250 85.0965 0.2622 0.3377 0.4001 0.00000 8.379 1500.0 12.0 0.0000 0.2324 33.06 0.0628
-160.3125 85.0965 0.2588 0.3384 0.4029 0.00000 8.973 1500.0 12.0 0.0000 0.1932 27.57 0.0628
-157.5000 85.0965 0.2583 0.3396 0.4021 0.00000 8.948 1500.0 12.0 0.0000 0.1891 26.97 0.0628
-154.6875 85.0965 0.2687 0.3269 0.4044 0.00000 8.528 1500.0 12.0 0.0000 0.2131 30.30 0.0628
-151.8750 85.0965 0.2763 0.3138 0.4099 0.00000 7.923 1500.0 12.0 0.0000 0.2737 38.89 0.0628
-149.0625 85.0965 0.2833 0.3040 0.4126 0.00000 7.510 1500.0 12.0 0.0000 0.3356 47.61 0.0628
-146.2500 85.0965 0.3000 0.2887 0.4113 0.00000 7.023 1500.0 12.0 0.0000 0.4671 65.76 0.0628
-143.4375 85.0965 0.3081 0.2779 0.4140 0.00000 6.600 1500.0 12.0 0.0000 0.7198 101.12 0.0628
-140.6250 85.0965 0.2991 0.2859 0.4150 0.00000 6.847 1500.0 12.0 0.0000 0.5249 74.06 0.0628
-137.8125 85.0965 0.2978 0.3057 0.3965 0.00000 7.780 1500.0 12.0 0.0000 0.2385 33.37 0.0628
-135.0000 85.0965 0.3217 0.2863 0.3921 0.00000 7.364 1500.0 12.0 0.0000 0.3020 41.72 0.0628
-132.1875 85.0965 0.3079 0.2916 0.4005 0.00000 7.274 1500.0 12.0 0.0000 0.3148 43.94 0.0628
-129.3750 85.0965 0.2954 0.2892 0.4155 0.00000 7.069 1500.0 12.0 0.0000 0.3167 44.77 0.0628
-126.5625 85.0965 0.3201 0.2763 0.4036 0.00000 6.844 1500.0 12.0 0.0000 0.3824 53.17 0.0666
-123.7500 85.0965 0.3005 0.2997 0.3998 0.00000 7.514 1500.0 12.0 0.0000 0.2433 34.04 0.0733
-120.9375 85.0965 0.2901 0.2982 0.4117 0.00000 7.373 1500.0 12.0 0.0000 0.2672 37.78 0.0753
-118.1250 85.0965 0.2856 0.3057 0.4088 0.00000 7.212 1500.0 12.0 0.0000 0.3137 44.38 0.0797
-115.3125 85.0965 0.2948 0.2958 0.4094 0.00000 6.714 1500.0 12.0 0.0000 0.4449 62.72 0.0812
-112.5000 85.0965 0.2899 0.2999 0.4102 0.00000 7.203 1500.0 12.0 0.0000 0.3085 43.60 0.0816
-109.6875 85.0965 0.2886 0.3022 0.4092 0.00000 7.254 1500.0 12.0 0.0000 0.3039 42.95 0.0826
-106.8750 85.0965 0.2959 0.2924 0.4117 0.00000 6.903 1500.0 12.0 0.0000 0.4467 63.02 0.0834
-104.0625 85.0965 0.3016 0.3047 0.3936 0.00000 7.813 1500.0 12.0 0.0000 0.2508 34.98 0.0815
-101.2500 85.0965 0.3098 0.3032 0.3870 0.00000 7.784 1500.0 12.0 0.0000 0.2641 36.57 0.0790
-98.4375 85.0965 0.3107 0.2857 0.4036 0.00000 7.030 1500.0 12.0 0.0000 0.4922 68.71 0.0772
-95.6250 85.0965 0.3788 0.2505 0.3708 0.00000 6.658 1500.0 12.0 0.0000 0.7708 102.69 0.0757
-92.8125 85.0965 0.4685 0.2156 0.3159 0.00000 6.904 1500.0 12.0 0.0000 0.6009 74.51 0.0695
-90.0000 85.0965 0.4707 0.2274 0.3019 0.00000 7.756 1500.0 12.0 0.0000 0.3499 43.00 0.0650
-87.1875 85.0965 0.5304 0.2006 0.2690 0.00000 7.501 1500.0 12.0 0.0000 0.4599 53.81 0.0639
-84.3750 85.0965 0.6541 0.1283 0.2176 0.00000 6.535 1500.0 12.0 0.0000 1.1736 124.38 0.0734
-81.5625 85.0965 0.6797 0.1125 0.2078 0.00000 6.368 1500.0 12.0 0.0000 1.0341 107.30 0.0665
-78.7500 85.0965 0.6345 0.1348 0.2307 0.00000 6.470 1500.0 12.0 0.0000 0.5588 60.40 0.0648
-75.9375 85.0965 0.5617 0.1740 0.2643 0.00000 6.869 1500.0 12.0 0.0000 0.3709 42.58 0.0652
-73.1250 85.0965 0.5220 0.1956 0.2824 0.00000 7.181 1500.0 12.0 0.0000 0.3399 40.26 0.0628
-70.3125 85.0965 0.4546 0.2307 0.3147 0.00000 7.479 1500.0 12.0 0.0000 0.2675 33.37 0.0628
-67.5000 85.0965 0.4769 0.2163 0.3068 0.00000 7.035 1500.0 12.0 0.0000 0.2371 29.13 0.0628
-64.6875 85.0965 0.4782 0.2176 0.3042 0.00000 6.988 1500.0 12.0 0.0000 0.2110 25.87 0.0628
-61.8750 85.0965 0.4689 0.2200 0.3112 0.00000 7.120 1500.0 12.0 0.0000 0.2212 27.35 0.0628
-59.0625 85.0965 0.4797 0.2135 0.3068 0.00000 7.004 1500.0 12.0 0.0000 0.2354 28.88 0.0628
-56.2500 85.0965 0.4638 0.2231 0.3131 0.00000 7.186 1500.0 12.0 0.0000 0.2436 30.23 0.0628
-53.4375 85.0965 0.4576 0.2268 0.3156 0.00000 7.255 1500.0 12.0 0.0000 0.2493 31.07 0.0628
-50.6250 85.0965 0.4189 0.2572 0.3239 0.00000 7.632 1500.0 12.0 0.0000 0.2458 31.35 0.0628
