Lon Lat b theta_s theta_fc theta_wp awc_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
-168.7500 80.2688 7.50650 0.439117 0.349730 0.184667 118.709 1.000000 1.000000 1.000000 1.000000 0.595742 0.259600 0.259600 0.259600 0.259600 0.259600 0.259600 0.259600 0.259600 0.259600 0.259600
-163.1250 80.2688 7.62482 0.441349 0.355240 0.189444 109.149 1.000000 1.000000 1.000000 0.629861 0.268500 0.268500 0.268500 0.268500 0.268500 0.268500 0.268500 0.268500 0.268500 0.268500 0.268500
-146.2500 80.2688 6.80950 0.430342 0.325004 0.160752 121.707 1.000000 1.000000 1.000000 1.000000 0.653737 0.275600 0.275600 0.275600 0.275600 0.275600 0.275600 0.275600 0.275600 0.275600 0.275600
-140.6250 80.2688 7.28712 0.437593 0.344613 0.178500 109.479 1.000000 1.000000 1.000000 0.654710 0.266900 0.266900 0.266900 0.266900 0.266900 0.266900 0.266900 0.266900 0.266900 0.266900 0.266900
-135.0000 80.2688 7.48591 0.439079 0.349468 0.184204 113.607 1.000000 1.000000 1.000000 0.940603 0.266700 0.266700 0.266700 0.266700 0.266700 0.266700 0.266700 0.266700 0.266700 0.266700 0.266700
-129.3750 80.2688 7.58935 0.440991 0.354214 0.188343 122.028 1.000000 1.000000 1.000000 1.000000 0.773781 0.258300 0.258300 0.258300 0.258300 0.258300 0.258300 0.258300 0.258300 0.258300 0.258300
-118.1250 80.2688 6.21057 0.425417 0.307341 0.142038 189.938 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.665059 0.206300 0.206300 0.206300 0.206300
-112.5000 80.2688 6.76484 0.433101 0.329991 0.162462 213.826 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.352482 0.205500 0.205500
-106.8750 80.2688 7.48497 0.443862 0.359112 0.189273 240.698 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.976667 0.195400
-101.2500 80.2688 7.09398 0.433553 0.334582 0.170228 246.531 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
