Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation cec allophane polyvalent
168.7500 80.2688 0.4466 0.2201 0.3332 0.00000 8.004 1500.0 12.0 0.0000 0.1750 22.14 0.0628 0.0000 0.0002 14.247 0.00000 8.406
174.3750 80.2688 0.3961 0.2539 0.3500 0.00000 8.051 1500.0 12.0 0.0000 0.1405 18.37 0.0628 0.0000 0.0003 16.485 0.00000 9.726
180.0000 80.2688 0.3984 0.2510 0.3506 0.00000 7.890 1500.0 12.0 0.0000 0.1505 19.67 0.0628 0.0000 0.0001 16.119 0.00000 9.510
-174.3750 80.2688 0.4929 0.1963 0.3108 0.00000 7.620 1500.0 12.0 0.0000 0.1226 14.98 0.0628 0.0000 0.0003 12.371 0.00000 7.299
-168.7500 80.2688 0.4177 0.2463 0.3360 0.00000 7.851 1500.0 12.0 0.0000 0.0559 10.00 0.0628 0.0000 0.0002 15.773 0.00000 9.306
-163.1250 80.2688 0.3916 0.2606 0.3478 0.00000 7.576 1500.0 12.0 0.0000 0.0330 10.00 0.0628 0.0000 0.0000 16.372 0.00000 9.659
-157.5000 80.2688 0.4642 0.2114 0.3241 0.00000 5.451 1500.0 12.0 0.0000 0.0420 10.00 0.0669 0.0000 0.0000 11.307 0.00000 6.252
-151.8750 80.2688 0.5491 0.1632 0.2876 0.00000 5.343 1500.0 12.0 0.0000 0.0631 10.00 0.0656 0.0000 0.0000 8.654 0.00000 4.076
-146.2500 80.2688 0.4967 0.1967 0.3066 0.00000 7.525 1500.0 12.0 0.0000 0.0575 10.00 0.0628 0.0000 0.0000 12.316 0.00000 7.267
-140.6250 80.2688 0.4312 0.2350 0.3338 0.00000 7.135 1500.0 12.0 0.0000 0.0318 10.00 0.0628 0.0000 0.0000 14.311 0.00000 8.443
-135.0000 80.2688 0.4096 0.2545 0.3359 0.00000 7.110 1500.0 12.0 0.0000 0.0285 10.00 0.0628 0.0000 0.0000 15.471 0.00000 9.128
-129.3750 80.2688 0.4154 0.2454 0.3392 0.00000 7.283 1500.0 12.0 0.0000 0.0315 10.00 0.0628 0.0000 0.0000 15.102 0.00000 8.910
-123.7500 80.2688 0.4316 0.2376 0.3308 0.00000 6.157 1500.0 12.0 0.0000 0.0506 10.00 0.0628 0.0000 0.0000 13.446 0.00000 7.933
-118.1250 80.2688 0.5488 0.1614 0.2897 0.00000 7.938 1500.0 12.0 0.0000 0.1301 15.27 0.0628 0.0000 0.0000 10.396 0.00000 6.134
-112.5000 80.2688 0.4742 0.2008 0.3250 0.00000 8.074 1499.9 12.0 0.0000 0.1556 19.34 0.0628 0.0001 0.0007 13.059 0.00001 7.705
-106.8750 80.2688 0.3833 0.2498 0.3668 0.00000 8.169 1499.9 12.0 0.0000 0.2079 27.59 0.0628 0.0001 0.0007 16.350 0.00001 9.647
-101.2500 80.2688 0.4536 0.2342 0.3122 0.00000 8.173 1500.0 12.0 0.0000 0.2568 32.01 0.0628 0.0000 0.0000 15.330 0.00000 9.045
-95.6250 80.2688 0.4194 0.2553 0.3254 0.00000 8.165 1500.0 12.0 0.0000 0.2530 32.29 0.0628 0.0000 0.0000 16.701 0.00000 9.854
-90.0000 80.2688 0.4949 0.2111 0.2940 0.00000 8.165 1500.0 12.0 0.0000 0.3425 41.40 0.0628 0.0000 0.0000 13.810 0.00000 8.148
-84.3750 80.2688 0.5298 0.1883 0.2819 0.00000 8.169 1500.0 12.0 0.0000 0.2587 30.51 0.0628 0.0000 0.0000 12.325 0.00000 7.272
-78.7500 80.2688 0.4417 0.2437 0.3146 0.00000 7.897 1500.0 12.0 0.0000 0.1252 15.72 0.0628 0.0000 0.0000 15.656 0.00000 9.237
