 Wavelength    Flux  
0.3121973426111928 0.026083921629891725
0.31260058000785806 0.02834040972847252
0.3130043382302188 0.03121889807158776
0.31340861795097885 0.013520361025529816
0.3138134198437112 0.030748561564849182
0.31421874458285864 0.023486918451899413
0.31462459284373523 0.01970113938849132
0.31503096530252706 0.04565103073314601
0.31543786263629375 0.030513488874566275
0.3158452855229694 0.01345595272761889
0.31625323464136373 0.022863603569391718
0.31666171067116317 0.01984607042132057
0.31707071429293215 0.02923781279549429
0.31748024618811393 0.03793456306310144
0.31789030703903215 0.02075530275451851
0.3183008975288916 0.014522747884922476
0.3187120183417796 0.03185549124703829
0.3191236701626669 0.022527788556222145
0.31953585367740917 0.014482404748734445
0.3199485695727477 0.02054925718527485
0.320361818536311 0.029706569341369393
0.3207756012566157 0.02564720597357025
0.3211899184230675 0.009494691513925796
0.32160477072596283 0.01350224184082577
0.32202015885648955 0.016858154249312897
0.32243608350672837 0.014766767193124168
0.3228525453696537 0.009650534835295805
0.32326954513913525 0.013216804615154086
0.3236870835099388 0.0186837363536716
0.3241051611777276 0.020675487491494986
0.3245237788390632 0.020002367437572922
0.32494293719140704 0.022061740479603128
0.32536263693312145 0.026859827390207817
0.3257828787634706 0.04958285193322268
0.3262036633826219 0.03801373319055992
0.3266249914916472 0.0411360699209545
0.32704686379252373 0.030008589614546177
0.32746928098813544 0.03766339924282788
0.3278922437822741 0.027609680416322707
0.3283157528796407 0.03756001394029571
0.32873980898584615 0.03540946005638255
0.3291644128074129 0.034226484896932904
0.32958956505177595 0.05423968377521764
0.3300152664272839 0.05322735677877289
0.33044151764320046 0.034081735899874545
0.3308683194097053 0.02849833220681946
0.33129567243789537 0.031807429707198034
0.33172357743978614 0.031814808186472386
0.3321520351283127 0.02506369173656717
0.3325810462173309 0.0416724287238484
0.33301061142161875 0.031768432267379805
0.33344073145687736 0.029844024993619944
0.3338714070397323 0.02759429009586394
0.33430263888773476 0.030517016353864477
0.3347344277193627 0.028542154839964057
0.335166774254022 0.03146350602838834
0.3355996792120479 0.02925255484692735
0.3360331433147059 0.009633943529594553
0.3364671672841931 0.02785133186941664
0.3369017518436396 0.011220344292206847
0.33733689771710906 0.012528996611402839
0.3377726056296008 0.026381460303241785
0.3382088763070503 0.01669397985239465
0.33864571047633085 0.026640059519025
0.3390831088652544 0.017820249340604735
0.339521072202573 0.02297643558749061
0.33995960121798 0.03179106193467084
0.3403986966421113 0.022118628625675048
0.34083835920654626 0.018922823597597862
0.3412785896438094 0.013832849488651662
0.3417193886873713 0.016451709721335965
0.34216075707164983 0.021610578147397624
0.3426026955320115 0.016329534386669894
0.34304520480477263 0.03396769685942649
0.3434882856272006 0.018883546499405417
0.34393193873751493 0.008027959681855207
0.3443761648748888 0.008316300836379987
0.34482096477945007 0.02059356662826613
0.34526633919228245 0.02142688412942489
0.3457122888554269 0.02651082023875004
0.3461588145118828 0.013728225898345436
0.3466059169056093 0.016009173883547462
0.3470535967815263 0.02969126002471156
0.347501854885516 0.008666852821542748
0.34795069196442385 0.03143014459759045
0.34840010876606 0.02776056689958224
0.3488501060392004 0.029390359581625603
0.3493006845335883 0.01831810592070667
0.3497518449999352 0.02171611744918826
0.35020358818992225 0.04030836376524816
0.35065591485620146 0.03471957667178113
0.351108825752397 0.021930281834839794
0.3515623216331064 0.01690034834354546
0.35201640325390193 0.017994361247790924
0.35247107137133166 0.00975113929060885
0.3529263267429208 0.026762584456047855
0.3533821701271731 0.035471016893546946
0.3538386022835719 0.042066391528142746
0.35429562397258163 0.03630647287642985
0.3547532359556488 0.03408022049838154
0.35521143899520347 0.03349334037968892
0.3556702338546605 0.020864678385804997
0.35612962129842074 0.02761532142382935
0.3565896020918723 0.01454797956088217
0.357050177001392 0.009668865767882425
0.35751134679434643 0.01697607878854161
0.35797311223909334 0.007763663946202219
0.35843547410498283 0.009926712003338908
0.3588984331623589 0.017570031083080254
0.3593619901825603 0.01764643268293457
0.35982614593792217 0.04022489091377662
0.36029090120177726 0.02355433144675106
0.360756256748457 0.010924211156039613
0.36122221335329313 0.01741912845578731
0.36168877179261866 0.017495182997186453
0.3621559328437694 0.01705195162115767
0.36262369728508526 0.03529614466280155
0.36309206589591125 0.014862455219734469
0.36356103945659923 0.019736494768690712
0.3640306187485088 0.03783791021210557
0.3645008045540088 0.020284545541518588
0.36497159765647863 0.016476262216600722
0.3654429988403095 0.04159463331273487
0.3659150088909058 0.05705682468615776
0.36638762859468615 0.04773342530999343
0.3668608587390852 0.03133493142832769
0.3673347001125544 0.05769448757245533
0.3678091535045639 0.025526153504072474
0.36828421970560316 0.024185268126885217
0.3687598995071828 0.018543738603282615
0.3692361937018359 0.047149246240035886
0.369713103083119 0.058876196186322186
0.3701906284456137 0.03509927515126155
0.37066877058492775 0.01225596562533408
0.3711475302976968 0.03464801114291519
0.3716269083815852 0.02635268575527328
0.3721069056352876 0.007971142437958644
0.3725875228585303 0.017361780035251587
0.37306876085207263 0.01762575367050272
0.3735506204177079 0.006840721596540534
0.3740331023582654 0.016094272709117098
0.37451620747761116 0.009141134455477883
0.3749999365806494 0.011786170057312667
0.3754842904733241 0.024995313658415477
0.3759692699626202 0.015080904931987193
