Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
-61.8750 87.8638 0.3097 0.3209 0.3693 0.00000 8.877 1500.0 12.0 0.0000 0.1219 16.74 0.0628 0.0000 0.0000
-59.0625 87.8638 0.3154 0.3328 0.3518 0.00000 8.690 1500.0 12.0 0.0000 0.1198 16.25 0.0628 0.0000 0.0000
-56.2500 87.8638 0.2693 0.3608 0.3699 0.00000 9.204 1500.0 12.0 0.0000 0.1207 16.87 0.0628 0.0000 0.0000
-53.4375 87.8638 0.2720 0.3592 0.3688 0.00000 9.172 1500.0 12.0 0.0000 0.1245 17.37 0.0628 0.0000 0.0000
-50.6250 87.8638 0.2755 0.3484 0.3761 0.00000 9.202 1500.0 12.0 0.0000 0.1314 18.37 0.0628 0.0000 0.0000
-47.8125 87.8638 0.2912 0.3462 0.3626 0.00000 8.968 1500.0 12.0 0.0000 0.1329 18.33 0.0628 0.0000 0.0000
-45.0000 87.8638 0.2570 0.3749 0.3681 0.00000 9.287 1500.0 12.0 0.0000 0.1310 18.38 0.0628 0.0000 0.0000
-42.1875 87.8638 0.3029 0.3200 0.3771 0.00000 8.989 1500.0 12.0 0.0000 0.1502 20.76 0.0628 0.0000 0.0000
-39.3750 87.8638 0.3834 0.2715 0.3451 0.00000 8.086 1500.0 12.0 0.0000 0.1620 21.24 0.0628 0.0000 0.0000
-36.5625 87.8638 0.3253 0.3065 0.3681 0.00000 8.737 1500.0 12.0 0.0000 0.1610 21.94 0.0628 0.0000 0.0000
-33.7500 87.8638 0.4356 0.2401 0.3243 0.00000 7.501 1500.0 12.0 0.0000 0.1768 22.37 0.0628 0.0000 0.0000
-30.9375 87.8638 0.4126 0.2539 0.3335 0.00000 7.759 1500.0 12.0 0.0000 0.1787 22.98 0.0628 0.0000 0.0000
-28.1250 87.8638 0.3955 0.2642 0.3403 0.00000 7.951 1500.0 12.0 0.0000 0.1824 23.73 0.0628 0.0000 0.0000
-25.3125 87.8638 0.3494 0.2920 0.3586 0.00000 8.466 1500.0 12.0 0.0000 0.1834 24.60 0.0628 0.0000 0.0000
-22.5000 87.8638 0.3935 0.2654 0.3411 0.00000 7.972 1500.0 12.0 0.0000 0.1940 25.28 0.0628 0.0000 0.0000
